0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:43 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:43 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:43 +0900] "GET /food_list.food?ord=coded&psize=9&keyword=&cpage=1 HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:45 +0900] "GET /index.jsp HTTP/1.1" 200 6384
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:46 +0900] "GET /food_list.food HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:45:49 +0900] "GET /food_list.food HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:46:12 +0900] "GET /food_list.food HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:46:45 +0900] "GET /food_list.food HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:46:46 +0900] "GET /food_list.food HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:46:48 +0900] "GET /food_list.food HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:46:49 +0900] "GET /food_list.food HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:46:50 +0900] "GET /food_list.food HTTP/1.1" 200 21357
0:0:0:0:0:0:0:1 - - [01/Jul/2021:23:59:56 +0900] "GET /food_list.food HTTP/1.1" 500 2877
